Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Іванченко,Сергій,Миколайович,чоловіча,1994-05-15,Фрілансер,хутір Старий Самбір,"вулиця Зернова, буд. 1, Вуглегірськ, 68790",+380 07 060 32 15,albertkonoplenko@example.com
Сацюк,Спас,Сергійович,чоловіча,1953-09-19,Паблік рилейшнз,місто Верхівцеве,"площа Юрія Олеші, буд. 74 кв. 3, Вишневе , 65277",+380 39 152-16-82,lescherinko@example.net
Рябченко,Валентина,Олегівна,жіноча,2002-11-13,Фольклорист,село Ржищів,"набережна Фруктовий, буд. 3 кв. 56, Погребище, 04902",080 071 59 80,zustenko@example.com
Ковпак,Едита,Петрівна,жіноча,1942-10-10,Астрофізик,село Судова Вишня,"узвіз Олександра Блока, буд. 62, Семенівка, 88171",+380 36 992-79-86,iavdieienko@example.org
Гаврилець,Олена,Михайлівна,жіноча,1968-01-04,Стропальник,місто Збараж,"парк Дерибасівська, буд. 564, Хрустальний, 88621",+380 85 141-32-77,zarsenych@example.com
Єрченко,Тереза,Андріївна,жіноча,1950-11-26,Візажист,селище Іллінці,"узвіз 11-та Лінія Марії Демченко, буд. 57 кв. 9, Винники, 17482",+380 (37) 898-86-69,serhiibabarychenko@example.net
Давиденко,Марʼяна,Федорівна,жіноча,1962-02-16,Ювелір,селище Тернопіль,"узвіз Солонцюватий 1-й, буд. 5 кв. 479, Хуст, 82954",393-01-03,pavlo78@example.org
Андрієнко,Сніжана,Максимівна,жіноча,1987-01-31,Дипломат,місто Вижниця,"проспект Мазепи Івана, буд. 779 кв. 611, Судова Вишня, 04070",+380 (77) 502-75-57,klavdiia00@example.org
Адаменко,Альберт,Ігоревич,чоловіча,2000-08-01,Дипломат,село Дубровиця,"парк Китобійний 2-й, буд. 2 кв. 19, Антрацит , 77604",+380 05 464-57-71,zlatoslavakolisnychenko@example.org
Хорішко,Болеслав,Вікторович,чоловіча,1975-01-09,Музикант,селище Зимогір'я,"шосе Хімічний 1-й, буд. 6, Новодністровськ, 29214",+380 73 519-46-86,baranetspylyp@example.net
Чорновіл,Йосип,Леонідович,чоловіча,1957-05-20,Інженер,село Житомир,"проспект Сухолиманна, буд. 332, Сколе, 74863",+380 (20) 680-50-87,qzabarna@example.org
Жук,Альбіна,Артемівна,жіноча,1972-05-07,Науковець,село Хоростків,"узвіз Поїзна, буд. 711, Сміла, 68962",+380 (68) 677-09-18,azhazhaavhustyn@example.net
Бездітко,Данна,Олександрівна,жіноча,1974-01-22,Ґрунтознавець,село Українка ,"сквер Лодочний, буд. 6 кв. 3, Мостиська, 88986",+380 89 943-89-38,kovalenkomykhailo@example.org
Заєць,Алла,Олегівна,жіноча,1985-01-20,Конструктор,селище Южноукраїнськ,"сквер Уютна, буд. 3, Долина , 33018",+380 (19) 906-43-38,lahodasviatoslava@example.org
Радченко,Аарон,Миколайович,чоловіча,1955-01-10,Музичний редактор,село Біла Церква,"провулок Балтський 2-й, буд. 480 кв. 9, Алмазна, 56832",079 970-07-47,odarkasamoilenko@example.com
Заєць,Юстина,Максимівна,жіноча,1974-09-02,Мовознавець,хутір Монастирище,"набережна Десятого квітня, буд. 185, Зборів, 60505",084 123-72-08,ehuz@example.net
Харченко,Демид,Артемович,чоловіча,1999-06-29,Співак,місто Зборів,"вулиця Високий, буд. 431, Білопілля, 76729",+380 79 854 55 14,tymofii27@example.net
Захаренко,Тарас,Дмитрович,чоловіча,2001-12-29,Електрослюсар,село Новоград-Волинський,"провулок Морський, буд. 1 кв. 81, Вашківці, 26166",+380 69 330-40-25,feofannalyvaiko@example.net
Кащенко,Гаврило,Миколайович,чоловіча,1964-10-24,Фармацевт,місто Карлівка,"шосе Тульська, буд. 278 кв. 97, Прип'ять , 25558",+380 (06) 548-49-59,hordii03@example.net
Бабиченко,Дарина,Олегівна,жіноча,1973-11-01,Гінеколог,село Полтава,"проспект Академіка Сахарова, буд. 72, Самбір, 82653",663-69-17,bohuslav68@example.org
Гунько,Роман,Сергійович,чоловіча,1952-10-23,Візажист,селище Славута,"вулиця Прорізний, буд. 956 кв. 454, Лиман , 82342",648 41 26,adabevz@example.net
Черінько,Лілія,Геннадіївна,жіноча,1982-11-28,Промисловець,місто Волочиськ,"провулок Східний, буд. 23, Зеленодольськ, 46034",034 754 71 53,jteslenko@example.org
Симоненко,Костянтин,Іванович,чоловіча,1968-05-19,Шериф,місто Енергодар,"парк Ватманський, буд. 405, Роздільна, 27182",+380 00 013-86-15,makar05@example.org
Рубан,Святослава,Петрівна,жіноча,1968-12-29,Реабілітолог,місто Дрогобич,"проспект Сьома, буд. 681 кв. 4, Чистякове, 41233",856-87-11,oiemelianenko@example.org
Базилевич,Адам,Максимович,чоловіча,1958-06-02,Вчитель,місто Попасна,"сквер Васнецова, буд. 30 кв. 53, Селидове, 58543",+380 43 219 63 52,onysymzakharenko@example.com
Бабій,Ярослав,Федорович,чоловіча,1986-10-07,Випробувач,село Берислав,"парк Китобійна, буд. 459 кв. 907, Балта, 27352",+380 67 651-28-89,allaartym@example.net
Гаврилець,Венедикт,Олегович,чоловіча,1944-10-27,Електромонтер,село Богодухів,"парк Ювілейний 2-й, буд. 5 кв. 977, Решетилівка, 46635",985-35-39,mtryhub@example.net
Габелко,Мілена,Артемівна,жіноча,1958-03-24,Електромонтер,селище Щолкіне,"вулиця Радісний, буд. 7, Кременець, 41210",+380 48 201-36-84,rarsenych@example.org
Атаманюк,Гліб,Романович,чоловіча,1960-01-26,Петрограф,хутір Богодухів,"провулок Юннатів 3-й, буд. 46 кв. 414, Білозерське, 10353",+380 91 623 72 54,odarkalukash@example.com
Яремчук,Камілла,Миколаївна,жіноча,2001-01-12,Науковець,хутір Долина ,"парк Дружний, буд. 2, Оріхів, 47615",056 251 53 76,rhodunok@example.org
Худяк,Альбіна,Геннадіївна,жіноча,1991-01-14,Драматург,селище Шаргород,"парк Дюківський сад, буд. 2 кв. 98, Деражня, 74528",+380 (14) 506-08-54,alevtynusyk@example.com
Лагода,Дан,Федорович,чоловіча,1975-06-01,Електромонтажник,селище Малин,"площа Кощового отамана, буд. 102, Миколаївка , 79962",+380 (78) 333-04-47,shevchenkolukian@example.org
Андрійович,Йосип,Андрійович,чоловіча,1991-07-13,Прокурор,місто Верхівцеве,"вулиця Польська, буд. 7 кв. 97, Монастириська, 44947",+380 71 793-62-11,demydenkovalentyna@example.org
Бгиденко,Хома,Артемович,чоловіча,1984-03-31,Паблік рилейшнз,село Хотин,"сквер Десантний, буд. 94, Залізне, 17174",+380 27 352-12-85,teodorgerus@example.com
Іщак,Віолетта,Дмитрівна,жіноча,2003-04-29,Клоун,хутір Генічеськ,"вулиця Чорноморський 4-й, буд. 361, Трускавець, 24487",063 003-90-58,lukianakymenko@example.org
Проценко,Миколай,Леонідович,чоловіча,1994-12-17,Кіноактор,селище Славута,"вулиця Щоголєва, буд. 74 кв. 7, Камінь-Каширський, 44918",+380 99 784-24-20,vasylashkoaaron@example.com
Лемешко,Марʼяна,Василівна,жіноча,1980-10-16,Редактор,місто Мерефа,"набережна Дубовий гай, буд. 690, Яворів, 15852",028 503-16-01,orlykamaliia@example.org
Цюпа,Тетяна,Максимівна,жіноча,1950-06-26,Модель,селище Бахмут,"площа Єврейська, буд. 634 кв. 86, Генічеськ, 25792",+380 55 596-96-72,eduardvdovenko@example.net
Остапчук,Петро,Юрійович,чоловіча,1976-01-09,Гінеколог,селище Путивль,"площа Демократична, буд. 474 кв. 1, Кам'янське, 26904",187-90-77,znosenko@example.net
